127.0.0.1 - - [19/Mar/2021:17:38:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:07 +0900] "GET /cleanmarket/ HTTP/1.1" 200 10446
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:07 +0900] "GET /cleanmarket/vendor/bootstrap/css/bootstrap.min.css;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:07 +0900] "GET /cleanmarket/vendor/fontawesome-free/css/all.min.css;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 55111
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/css/agency.min.css;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 15372
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/vendor/jquery/jquery.min.js;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/vendor/bootstrap/js/bootstrap.bundle.min.js;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/vendor/jquery-easing/jquery.easing.min.js;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/js/jqBootstrapValidation.js;jsessionid=54CC417AE23B1675C4156E5B7972765D HTTP/1.1" 200 37173
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:08 +0900] "GET /cleanmarket/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:33 +0900] "GET /cleanmarket/? HTTP/1.1" 200 10050
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:33 +0900] "GET /cleanmarket/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/Mar/2021:17:38:33 +0900] "GET /cleanmarket/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
